Time;ID;Type;Value
00:08.236;ID:2;RSSI long;-98
00:08.327;ID:2;RSSI;-95
00:08.328;ID:2;RSSI short;-96
00:08.330;ID:2;RSSI long;-98
00:08.421;ID:2;RSSI;-95
00:08.422;ID:2;RSSI short;-96
00:08.423;ID:2;RSSI long;-98
00:08.515;ID:2;RSSI;-100
00:08.516;ID:2;RSSI short;-96
00:08.517;ID:2;RSSI long;-100
00:08.545;ID:2;Send;3
00:08.546;ID:2;Recieved;6
00:08.609;ID:2;RSSI;-95
00:08.610;ID:2;RSSI short;-96
00:08.611;ID:2;RSSI long;-98
00:08.703;ID:2;RSSI;-95
00:08.704;ID:2;RSSI short;-96
00:08.705;ID:2;RSSI long;-98
00:08.796;ID:2;RSSI;-95
00:08.797;ID:2;RSSI short;-96
00:08.798;ID:2;RSSI long;-98
00:08.890;ID:2;RSSI;-100
00:08.891;ID:2;RSSI short;-96
00:08.892;ID:2;RSSI long;-98
00:08.984;ID:2;RSSI;-95
00:08.985;ID:2;RSSI short;-96
00:08.986;ID:2;RSSI long;-98
00:09.077;ID:2;RSSI;-95
00:09.078;ID:2;RSSI short;-96
00:09.080;ID:2;RSSI long;-98
00:09.171;ID:2;RSSI;-95
00:09.172;ID:2;RSSI short;-96
00:09.173;ID:2;RSSI long;-98
00:09.265;ID:2;RSSI;-100
00:09.266;ID:2;RSSI short;-96
00:09.267;ID:2;RSSI long;-98
00:09.359;ID:2;RSSI;-95
00:09.360;ID:2;RSSI short;-96
00:09.361;ID:2;RSSI long;-98
00:09.452;ID:2;RSSI;-95
00:09.453;ID:2;RSSI short;-96
00:09.455;ID:2;RSSI long;-97
00:09.546;ID:2;RSSI;-96
00:09.547;ID:2;RSSI short;-96
00:09.548;ID:2;RSSI long;-97
00:09.640;ID:2;RSSI;-96
00:09.641;ID:2;RSSI short;-96
00:09.642;ID:2;RSSI long;-97
00:09.734;ID:2;RSSI;-95
00:09.735;ID:2;RSSI short;-96
00:09.736;ID:2;RSSI long;-97
00:09.827;ID:2;RSSI;-95
00:09.828;ID:2;RSSI short;-96
00:09.830;ID:2;RSSI long;-97
00:09.921;ID:2;RSSI;-100
00:09.922;ID:2;RSSI short;-96
00:09.923;ID:2;RSSI long;-97
00:10.015;ID:2;RSSI;-95
00:10.016;ID:2;RSSI short;-96
00:10.017;ID:2;RSSI long;-97
