Time;ID;Type;Value
00:10.444;ID:1;RSSI short;-100
00:10.445;ID:1;RSSI long;-100
00:10.536;ID:1;RSSI;-100
00:10.537;ID:1;RSSI short;-100
00:10.539;ID:1;RSSI long;-100
00:10.630;ID:1;RSSI;-100
00:10.631;ID:1;RSSI short;-100
00:10.632;ID:1;RSSI long;-101
00:10.692;ID:1;Send;4
00:10.692;ID:1;Recieved;4
00:10.699;ID:1;Jamming detected by message shortage: changed to channel 18 ;
00:10.724;ID:1;RSSI;-100
00:10.725;ID:1;RSSI short;-100
00:10.726;ID:1;RSSI long;-100
00:10.821;ID:1;RSSI;-100
00:10.822;ID:1;RSSI short;-100
00:10.824;ID:1;RSSI long;-100
00:10.915;ID:1;RSSI;-100
00:10.916;ID:1;RSSI short;-100
00:10.917;ID:1;RSSI long;-100
00:11.005;ID:1;RSSI;-100
00:11.006;ID:1;RSSI short;-100
00:11.007;ID:1;RSSI long;-100
00:11.099;ID:1;RSSI;-100
00:11.100;ID:1;RSSI short;-100
00:11.101;ID:1;RSSI long;-100
00:11.192;ID:1;RSSI;-100
00:11.194;ID:1;RSSI short;-100
00:11.195;ID:1;RSSI long;-100
00:11.286;ID:1;RSSI;-100
00:11.287;ID:1;RSSI short;-100
00:11.289;ID:1;RSSI long;-100
00:11.380;ID:1;RSSI;-100
00:11.381;ID:1;RSSI short;-100
00:11.382;ID:1;RSSI long;-100
00:11.474;ID:1;RSSI;-100
00:11.475;ID:1;RSSI short;-100
00:11.476;ID:1;RSSI long;-100
00:11.567;ID:1;RSSI;-100
00:11.569;ID:1;RSSI short;-100
00:11.570;ID:1;RSSI long;-100
00:11.661;ID:1;RSSI;-100
00:11.662;ID:1;RSSI short;-100
00:11.664;ID:1;RSSI long;-100
00:11.755;ID:1;RSSI;-100
00:11.756;ID:1;RSSI short;-100
00:11.757;ID:1;RSSI long;-100
00:11.849;ID:1;RSSI;-100
00:11.850;ID:1;RSSI short;-100
00:11.851;ID:1;RSSI long;-100
00:11.942;ID:1;RSSI;-100
00:11.944;ID:1;RSSI short;-100
00:11.945;ID:1;RSSI long;-100
00:12.036;ID:1;RSSI;-100
00:12.037;ID:1;RSSI short;-100
00:12.039;ID:1;RSSI long;-100
00:12.130;ID:1;RSSI;-100
00:12.131;ID:1;RSSI short;-100
00:12.132;ID:1;RSSI long;-100
00:12.224;ID:1;RSSI;-100
00:12.225;ID:1;RSSI short;-100
00:12.226;ID:1;RSSI long;-100
00:12.317;ID:1;RSSI;-100
00:12.319;ID:1;RSSI short;-100
00:12.320;ID:1;RSSI long;-100
00:12.411;ID:1;RSSI;-100
00:12.412;ID:1;RSSI short;-100
00:12.414;ID:1;RSSI long;-100
00:12.505;ID:1;RSSI;-100
00:12.506;ID:1;RSSI short;-100
00:12.507;ID:1;RSSI long;-100
00:12.599;ID:1;RSSI;-100
00:12.600;ID:1;RSSI short;-100
00:12.601;ID:1;RSSI long;-101
00:12.692;ID:1;RSSI;-100
00:12.694;ID:1;RSSI short;-100
00:12.695;ID:1;RSSI long;-100
00:12.696;ID:1;Send;5
00:12.697;ID:1;Recieved;4
00:12.790;ID:1;RSSI;-100
00:12.791;ID:1;RSSI short;-100
00:12.793;ID:1;RSSI long;-100
00:12.883;ID:1;RSSI;-100
00:12.885;ID:1;RSSI short;-100
00:12.886;ID:1;RSSI long;-100
00:12.974;ID:1;RSSI;-100
00:12.975;ID:1;RSSI short;-100
00:12.976;ID:1;RSSI long;-100
00:13.067;ID:1;RSSI;-100
00:13.069;ID:1;RSSI short;-100
00:13.070;ID:1;RSSI long;-100
00:13.161;ID:1;RSSI;-100
00:13.162;ID:1;RSSI short;-100
00:13.164;ID:1;RSSI long;-100
00:13.255;ID:1;RSSI;-100
00:13.256;ID:1;RSSI short;-100
00:13.257;ID:1;RSSI long;-100
00:13.349;ID:1;RSSI;-100
00:13.350;ID:1;RSSI short;-100
00:13.351;ID:1;RSSI long;-100
00:13.442;ID:1;RSSI;-100
00:13.444;ID:1;RSSI short;-100
00:13.445;ID:1;RSSI long;-100
00:13.536;ID:1;RSSI;-100
00:13.537;ID:1;RSSI short;-100
00:13.539;ID:1;RSSI long;-100
00:13.630;ID:1;RSSI;-100
00:13.631;ID:1;RSSI short;-100
00:13.632;ID:1;RSSI long;-100
00:13.724;ID:1;RSSI;-100
00:13.725;ID:1;RSSI short;-100
00:13.726;ID:1;RSSI long;-100
00:13.817;ID:1;RSSI;-100
00:13.819;ID:1;RSSI short;-100
00:13.820;ID:1;RSSI long;-100
00:13.911;ID:1;RSSI;-100
00:13.912;ID:1;RSSI short;-100
00:13.914;ID:1;RSSI long;-100
00:14.005;ID:1;RSSI;-100
00:14.006;ID:1;RSSI short;-100
00:14.007;ID:1;RSSI long;-100
00:14.099;ID:1;RSSI;-100
00:14.100;ID:1;RSSI short;-100
00:14.101;ID:1;RSSI long;-100
00:14.192;ID:1;RSSI;-100
00:14.194;ID:1;RSSI short;-100
00:14.195;ID:1;RSSI long;-100
00:14.286;ID:1;RSSI;-100
00:14.287;ID:1;RSSI short;-100
00:14.289;ID:1;RSSI long;-100
00:14.380;ID:1;RSSI;-100
00:14.381;ID:1;RSSI short;-100
00:14.382;ID:1;RSSI long;-100
00:14.474;ID:1;RSSI;-100
00:14.475;ID:1;RSSI short;-100
00:14.476;ID:1;RSSI long;-100
00:14.567;ID:1;RSSI;-100
00:14.569;ID:1;RSSI short;-100
00:14.570;ID:1;RSSI long;-101
00:14.661;ID:1;RSSI;-100
00:14.662;ID:1;RSSI short;-100
00:14.664;ID:1;RSSI long;-100
00:14.692;ID:1;Send;6
00:14.692;ID:1;Recieved;4
00:14.759;ID:1;RSSI;-100
00:14.760;ID:1;RSSI short;-100
00:14.761;ID:1;RSSI long;-100
00:14.849;ID:1;RSSI;-100
00:14.850;ID:1;RSSI short;-100
00:14.851;ID:1;RSSI long;-100
00:14.946;ID:1;RSSI;-100
00:14.947;ID:1;RSSI short;-100
00:14.948;ID:1;RSSI long;-100
00:15.036;ID:1;RSSI;-100
00:15.037;ID:1;RSSI short;-100
00:15.039;ID:1;RSSI long;-100
00:15.130;ID:1;RSSI;-100
00:15.131;ID:1;RSSI short;-100
00:15.132;ID:1;RSSI long;-100
00:15.224;ID:1;RSSI;-100
00:15.225;ID:1;RSSI short;-100
00:15.226;ID:1;RSSI long;-100
00:15.317;ID:1;RSSI;-100
00:15.319;ID:1;RSSI short;-100
00:15.320;ID:1;RSSI long;-100
00:15.411;ID:1;RSSI;-100
00:15.412;ID:1;RSSI short;-100
00:15.414;ID:1;RSSI long;-100
00:15.505;ID:1;RSSI;-100
00:15.506;ID:1;RSSI short;-100
00:15.507;ID:1;RSSI long;-100
00:15.599;ID:1;RSSI;-100
00:15.600;ID:1;RSSI short;-100
00:15.601;ID:1;RSSI long;-100
00:15.692;ID:1;RSSI;-100
00:15.694;ID:1;RSSI short;-100
00:15.695;ID:1;RSSI long;-100
00:15.786;ID:1;RSSI;-100
00:15.787;ID:1;RSSI short;-100
00:15.789;ID:1;RSSI long;-100
00:15.880;ID:1;RSSI;-100
00:15.881;ID:1;RSSI short;-100
00:15.882;ID:1;RSSI long;-100
00:15.974;ID:1;RSSI;-100
00:15.975;ID:1;RSSI short;-100
00:15.976;ID:1;RSSI long;-100
00:16.067;ID:1;RSSI;-100
00:16.069;ID:1;RSSI short;-100
00:16.070;ID:1;RSSI long;-100
00:16.161;ID:1;RSSI;-100
00:16.162;ID:1;RSSI short;-100
00:16.164;ID:1;RSSI long;-100
00:16.255;ID:1;RSSI;-100
00:16.256;ID:1;RSSI short;-100
00:16.257;ID:1;RSSI long;-100
00:16.349;ID:1;RSSI;-100
00:16.350;ID:1;RSSI short;-100
